DATE,INDPRO
2/1/2011,95.5154
3/1/2011,96.4643
4/1/2011,96.1187
5/1/2011,96.3377
6/1/2011,96.6154
7/1/2011,97.1292
8/1/2011,97.6731
9/1/2011,97.6494
10/1/2011,98.3222
11/1/2011,98.2433
12/1/2011,98.7876
1/1/2012,99.3925
2/1/2012,99.6203
3/1/2012,99.1551
4/1/2012,99.9006
5/1/2012,100.0924
6/1/2012,100.0728
7/1/2012,100.3354
8/1/2012,99.856
9/1/2012,99.9049
10/1/2012,100.1167
11/1/2012,100.5991
12/1/2012,100.9542
1/1/2013,100.8204
2/1/2013,101.3995
3/1/2013,101.8114
4/1/2013,101.6364
5/1/2013,101.7476
6/1/2013,101.9549
7/1/2013,101.5204
8/1/2013,102.1907
9/1/2013,102.717
10/1/2013,102.5371
11/1/2013,102.8379
12/1/2013,103.1504
1/1/2014,102.7216
2/1/2014,103.5917
3/1/2014,104.5889
4/1/2014,104.6371
5/1/2014,105.0152
6/1/2014,105.4081
7/1/2014,105.6157
8/1/2014,105.4986
9/1/2014,105.8138
10/1/2014,105.8357
11/1/2014,106.6634
12/1/2014,106.5085
1/1/2015,105.9806
2/1/2015,105.4425
3/1/2015,105.1464
4/1/2015,104.5272
5/1/2015,104.0742
6/1/2015,103.7174
7/1/2015,104.3243
8/1/2015,104.1621
9/1/2015,103.7768
10/1/2015,103.3976
11/1/2015,102.6866
12/1/2015,102.1014
1/1/2016,102.9525
2/1/2016,102.2225
3/1/2016,101.4155
4/1/2016,101.5167
5/1/2016,101.4298
6/1/2016,101.8747
7/1/2016,102.1325
8/1/2016,102.0407
