"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2005-01","Jan-2005","IDX","Index","0","Units","2015_100","2015=100",99.89058,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2005-02","Feb-2005","IDX","Index","0","Units","2015_100","2015=100",98.88226,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2005-03","Mar-2005","IDX","Index","0","Units","2015_100","2015=100",97.85333,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2005-04","Apr-2005","IDX","Index","0","Units","2015_100","2015=100",99.09227,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2005-05","May-2005","IDX","Index","0","Units","2015_100","2015=100",99.93151,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2005-06","Jun-2005","IDX","Index","0","Units","2015_100","2015=100",99.27125,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2005-07","Jul-2005","IDX","Index","0","Units","2015_100","2015=100",99.55857,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2005-08","Aug-2005","IDX","Index","0","Units","2015_100","2015=100",100.4174,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2005-09","Sep-2005","IDX","Index","0","Units","2015_100","2015=100",100.5942,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2005-10","Oct-2005","IDX","Index","0","Units","2015_100","2015=100",100.6774,,
