"Table 1.2. U.S. Net International Investment Position at the End of the Period, Expanded Detail",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Millions of dollars]    NOTE:  End of quarter positions begin in the fourth quarter of 2005. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Release Date: September 29, 2020 - Next Release Date: December 29, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Line,Type of investment,1976,1977 ,1978,1979 ,1980,1981 ,1982,1983 ,1984,1985 ,1986,1987 ,1988,1989 ,1990,1991 ,1992,1993 ,1994,1995 ,1996,1997 ,1998,1999 ,2000,2001 ,2002,2003 ,2004,2005 ,2006,2007 ,2008,2009 ,2010,2011 ,2012,2013 ,2014,2015 ,2016,2017 ,2018,2019 
44,        Debt securities,105592,140174,169058,153322,168034,178354,201539,210272,263122,336940,433439,487643,571098,682708,703055,777542,851667,998306,1058361,1351437,1683763,1908230,2090028,2104159,2365268,2751909,3235556,3706808,4497967,5033822,6051630,7095323,7343440,7545553,8323493,8805342,9433504,9676651,10279279,10436766,10789745,11456735,11304934,12169570
45,          Short term,53515,62808,85673,67968,77673,74102,76264,86135,95116,87097,105815,118519,131483,110626,114374,129398,149618,213028,205477,249555,308885,286881,325193,318292,323686,388986,498135,530216,642768,588894,621409,800047,1099788,977437,919271,830725,844743,891646,911855,955267,941989,953486,982211,937299
46,            Treasury bills and certificates,40743,48905,68201,48572,57594,55314,55628,68668,76369,69133,90398,101743,115057,91100,96796,110734,127644,176739,162938,197355,236874,193240,183494,185675,177846,218237,268918,290919,323668,264728,253331,302698,758010,750437,710280,647673,661654,685527,671641,724731,668867,703141,746676,706231
47,            Other short-term securities,12772,13903,17472,19396,20079,18788,20636,17467,18747,17964,15417,16776,16426,19526,17578,18664,21974,36289,42539,52200,72011,93641,141699,132617,145840,170749,229217,239297,319100,324166,368078,497349,341778,227000,208991,183052,183089,206119,240214,230536,273122,250345,235535,231068
48,          Long term,52077,77366,83385,85354,90361,104252,125275,124137,168006,249843,327624,369124,439615,572082,588681,648144,702049,785278,852884,1101882,1374878,1621349,1764835,1785867,2041582,2362923,2737421,3176592,3855199,4444928,5430221,6295276,6243652,6568116,7404223,7974617,8588761,8785005,9367424,9481499,9847756,10503249,10322723,11232271
49,            Treasury bonds and notes,36840,59749,64700,67386,69855,80195,95059,94894,123920,157259,178990,194558,238782,332642,341567,365555,392695,417812,469633,619592,803456,959973,982750,872690,843580,876971,1016580,1222605,1489885,1719663,1872847,2073744,2494964,2920160,3748544,4356681,4909828,5107089,5486325,5421490,5333930,5508138,5523454,5984576
50,            Other long-term securities,15237,17617,18685,17968,20506,24057,30216,29243,44086,92584,148634,174566,200833,239440,247114,282589,309354,367466,383251,482290,571422,661376,782085,913177,1198002,1485952,1720841,1953987,2365314,2725265,3557374,4221532,3748688,3647956,3655679,3617936,3678933,3677916,3881099,4060009,4513826,4995111,4799269,5247695
51,"      Financial derivatives other than reserves, gross negative fair value",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1132114,1179159,2487860,5967815,3363444,3541931,4630539,3561985,2939543,3166776,2388893,2162275,1523171,1407548,1770251
52,        Over-the-counter contracts,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1116479,1156241,2456093,5904724,3333846,3512342,4581255,3527668,2903000,3100777,2345985,2121823,1461027,1366244,1738020
53,          Single-currency interest rate contracts,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,815068,749009,1434083,3977190,2532612,2787529,3799720,2912113,2319871,2433398,1803153,1580491,1020705,893650,1276262
